Strain_ID	Portal_of_entry	Collection_ID	Bioproject	Biosample	Assembly	Phylogroup	ST_Warwick	Stc_Warwick	Subgroups*	O_serogroup	H-type
H1-002-0057-F-J	Multiple	2016-7	PRJEB35745	SAMEA6378071	GCA_902708655.2	A	685	ST685		O93	H30
H1-002-0058-H-G	Urinary	2016-7	PRJEB35745	SAMEA6378072	GCA_902708675.2	B2	73	STc73	D	O2	H1
H1-002-0059-D-J	Urinary	2016-7	PRJEB35745	SAMEA6378073	GCA_902708635.2	D	1590	ST1590		O120	H15
H1-002-0060-C-T	Skin	2016-7	PRJEB35745	SAMEA6378074	GCA_902708665.2	C	88	STc88		O_not_found	H12
H1-002-0061-D-Z	Urinary	2016-7	PRJEB35745	SAMEA6378075	GCA_902708685.2	B2	73	STc73	D	O2	H1
H1-002-0062-F-N	Urinary	2016-7	PRJEB35745	SAMEA6378076	GCA_902708645.2	B2	144	ST144		O16	H6
H1-002-0063-C-M	Multiple	2016-7	PRJEB35745	SAMEA6378077	GCA_902708805.2	B2	1193	STc14		O75	H5
H1-002-0064-E-M	Urinary	2016-7	PRJEB35745	SAMEA6378078	GCA_902708705.2	B1	58	STc58		O9	H25
H1-002-0065-O-P	Digestive	2016-7	PRJEB35745	SAMEA6378079	GCA_902708735.2	B2	12	STc12		O4	H5
H1-002-0066-F-K	Multiple	2016-7	PRJEB35745	SAMEA6378080	GCA_902708785.2	B2	1858	ST1858		O4	H27
H1-002-0067-L-Z	Urinary	2016-7	PRJEB35745	SAMEA6378081	GCA_902708715.2	B2	127	STc127		O6	H31
H1-002-0068-R-E	Urinary	2016-7	PRJEB35745	SAMEA6378082	GCA_902708795.2	B2	95	STc95	A	O1	H7
H1-002-0069-V-G	Digestive	2016-7	PRJEB35745	SAMEA6378083	GCA_902708725.2	G	738	ST738		O146	H28
H1-002-0070-M-J	Urinary	2016-7	PRJEB35745	SAMEA6378084	GCA_902708815.2	B2	131	STc131	C2	O25b	H4
H1-002-0071-M-C	Urinary	2016-7	PRJEB35745	SAMEA6378085	GCA_902708745.2	B2	73	STc73	D	O2	H1
H1-002-0072-L-P	Urinary	2016-7	PRJEB35745	SAMEA6378086	GCA_902708765.2	B1	162	STc162		O9	H9
H1-002-0073-C-C	Urinary	2016-7	PRJEB35745	SAMEA6378087	GCA_902708755.2	B2	95	STc95	C	O1	H7
H1-002-0074-R-S	Urinary	2016-7	PRJEB35745	SAMEA6378088	GCA_902708775.2	B2	95	STc95	C	O25b	H4
H1-002-0075-S-Y	Pulmonary	2016-7	PRJEB35745	SAMEA6378089	GCA_902708695.2	B2	73	STc73	F	O6	H1
H1-002-0076-C-S	Urinary	2016-7	PRJEB35745	SAMEA6378090	GCA_902708835.2	B2	372	STc372		O153	H31
H1-002-0077-B-G	Urinary	2016-7	PRJEB35745	SAMEA6378091	GCA_902708845.2	B2	131	STc131	B	O25b	H4
H1-002-0078-L-J	Digestive	2016-7	PRJEB35745	SAMEA6378092	GCA_902708825.2	B2	12	STc12		O4	H1
H1-003-0001-F-L	Urinary	2016-7	PRJEB35745	SAMEA6378093	GCA_902708865.2	D	69	STc69	A	O17	H18
H1-003-0002-N-D	Catheter	2016-7	PRJEB35745	SAMEA6378094	GCA_902708925.2	A	10	STc10	B	O12	H4
H1-003-0003-A-N	Urinary	2016-7	PRJEB35745	SAMEA6378095	GCA_902708905.2	A	93	STc93		O5	H4
H1-003-0004-V-F	Digestive	2016-7	PRJEB35745	SAMEA6378096	GCA_902708885.2	A	48	STc10	A	Onovel28	H11
H1-003-0005-M-C	Digestive	2016-7	PRJEB35745	SAMEA6378097	GCA_902708935.2	D	69	STc69	D	O117	H4
H1-003-0006-O-H	Urinary	2016-7	PRJEB35745	SAMEA6378098	GCA_902708915.2	B2	8104	STc73	F	O6	H1
H1-003-0007-V-V	Digestive	2016-7	PRJEB35745	SAMEA6378099	GCA_902708895.2	D	69	STc69	C	O17	H18
H1-003-0008-A-C	Catheter	2016-7	PRJEB35745	SAMEA6378100	GCA_902708855.2	B2	12	STc12		O18	H5
H1-003-0009-G-T	Urinary	2016-7	PRJEB35745	SAMEA6378101	GCA_902708945.2	B2	1193	STc14		O75	H5
H1-003-0010-G-J	Digestive	2016-7	PRJEB35745	SAMEA6378102	GCA_902708875.2	B1	58	STc58		O8	H25
H1-003-0011-C-R	Digestive	2016-7	PRJEB35745	SAMEA6378103	GCA_902709105.2	B2	404	STc14		O75	H5
H1-003-0012-P-A	Urinary	2016-7	PRJEB35745	SAMEA6378104	GCA_902709135.2	B2	428	ST428		O117	H4
H1-003-0013-F-G	Digestive	2016-7	PRJEB35745	SAMEA6378105	GCA_902709115.2	B2	141	STc141		O2	H6
H1-003-0014-B-N	Catheter	2016-7	PRJEB35745	SAMEA6378106	GCA_902709085.2	B2	131	STc131	C2	O25b	H4
H1-003-0015-M-G	Urinary	2016-7	PRJEB35745	SAMEA6378107	GCA_902708985.2	B1	58	STc58		Onovel22	H12
H1-003-0016-A-A	Catheter	2016-7	PRJEB35745	SAMEA6378108	GCA_902708955.2	E	8103	ST8103		O9	H34
H1-003-0017-T-S	Digestive	2016-7	PRJEB35745	SAMEA6378109	GCA_902709145.2	A	10	STc10	B	O28	H9
H1-003-0018-G-T	Multiple	2016-7	PRJEB35745	SAMEA6378110	GCA_902708965.2	B1	2328	ST2328		O54	H2
H1-003-0019-B-M	Digestive	2016-7	PRJEB35745	SAMEA6378111	GCA_902709095.2	cladeI	3042	ST3042		O85	H43
H1-003-0020-T-P	Urinary	2016-7	PRJEB35745	SAMEA6378112	GCA_902709055.2	B2	73	STc73	B	O22	H1
H1-003-0021-B-C	Urinary	2016-7	PRJEB35745	SAMEA6378113	GCA_902708975.2	B2	357	ST357		O13	H4
H1-003-0022-D-M	Urinary	2016-7	PRJEB35745	SAMEA6378114	GCA_902709125.2	D	69	STc69	C	O15	H18
H1-003-0023-D-G	Urinary	2016-7	PRJEB35745	SAMEA6378115	GCA_902709065.2	D	393	STc393		O15	H1
H1-003-0024-A-P	Digestive	2016-7	PRJEB35745	SAMEA6378116	GCA_902709035.2	B2	131	STc131	C2	O25b	H4
H1-003-0025-B-A	Urinary	2016-7	PRJEB35745	SAMEA6378117	GCA_902709075.2	D	69	STc69	C	O15	H18
H1-003-0026-R-A	Urinary	2016-7	PRJEB35745	SAMEA6378118	GCA_902709015.2	B2	95	STc95	A	O2	H7
H1-003-0027-L-P	Digestive	2016-7	PRJEB35745	SAMEA6378119	GCA_902709045.2	D	69	STc69	B	O17	H18
H1-003-0028-B-I	Digestive	2016-7	PRJEB35745	SAMEA6378120	GCA_902709005.2	D	69	STc69	D	O117	H4
H1-003-0029-P-C	Digestive	2016-7	PRJEB35745	SAMEA6378121	GCA_902709025.2	B2	131	STc131	A	O16	H5
H1-003-0030-D-F	Urinary	2016-7	PRJEB35745	SAMEA6378122	GCA_902708995.2	F	59	STc59		O1	H7
H1-003-0032-M-L	Catheter	2016-7	PRJEB35745	SAMEA6378123	GCA_902709305.2	B2	131	STc131	A	O16	H5
H1-003-0033-A-J	Urinary	2016-7	PRJEB35745	SAMEA6378124	GCA_902709335.2	B2	131	STc131	C2	O25b	H4
H1-003-0034-G-T	Digestive	2016-7	PRJEB35745	SAMEA6378125	GCA_902709195.2	B1	8108	STc58		O21	H12
H1-003-0035-D-E	Catheter	2016-7	PRJEB35745	SAMEA6378126	GCA_902709185.2	B2	1092	ST1092		O179	H31
H1-003-0036-P-A	Digestive	2016-7	PRJEB35745	SAMEA6378127	GCA_902709255.2	B2	1643	ST1643		Onovel1	H45
H1-003-0037-B-J	Digestive	2016-7	PRJEB35745	SAMEA6378128	GCA_902709285.2	B2	404	STc14		O75	H5
H1-003-0038-E-A	Digestive	2016-7	PRJEB35745	SAMEA6378129	GCA_902709245.2	B2	357	ST357		O13	H4
H1-003-0039-D-O	Urinary	2016-7	PRJEB35745	SAMEA6378130	GCA_902709205.2	B2	131	STc131	C2	O25b	H4
H1-003-0040-A-H	Urinary	2016-7	PRJEB35745	SAMEA6378131	GCA_902709325.2	A	48	STc10	A	O_not_found	H30
H1-003-0041-L-G	Urinary	2016-7	PRJEB35745	SAMEA6378132	GCA_902709235.2	B2	537	STc14		O75	H5
H1-003-0042-K-J	Urinary	2016-7	PRJEB35745	SAMEA6378133	GCA_902709275.2	B2	131	STc131	C1	O25b	H4
H1-003-0043-G-D	Pulmonary	2016-7	PRJEB35745	SAMEA6378134	GCA_902709315.2	B2	404	STc14		O75	H5
H1-003-0044-B-J	Urinary	2016-7	PRJEB35745	SAMEA6378135	GCA_902709215.2	B2	144	ST144		O16	H6
H1-003-0045-B-K	Urinary	2016-7	PRJEB35745	SAMEA6378136	GCA_902709165.2	B2	8101	STc73	E	O6	H1
H1-003-0046-S-C	Urinary	2016-7	PRJEB35745	SAMEA6378137	GCA_902709295.2	D	69	STc69	D	O11	H4
H1-003-0047-P-C	Digestive	2016-7	PRJEB35745	SAMEA6378138	GCA_902709225.2	B1	380	ST380		O11	H9
H1-003-0048-D-P	Urinary	2016-7	PRJEB35745	SAMEA6378139	GCA_902709155.2	A	744	STc10	C	O101	H10
H1-003-0049-H-A	Urinary	2016-7	PRJEB35745	SAMEA6378140	GCA_902709345.2	B2	131	STc131	B	O25b	H4
H1-003-0050-R-P	Digestive	2016-7	PRJEB35745	SAMEA6378141	GCA_902709175.2	A	4358	STc10	A	O25	H16
H1-003-0051-D-J	Urinary	2016-7	PRJEB35745	SAMEA6378142	GCA_902709265.2	F	59	STc59		O1	H7
H1-003-0052-K-I	Urinary	2016-7	PRJEB35745	SAMEA6378143	GCA_902709395.2	B2	131	STc131	C2	O25b	H4
H1-003-0053-M-P	Urinary	2016-7	PRJEB35745	SAMEA6378144	GCA_902709405.2	B1	58	STc58		O9	H4
H1-003-0054-P-P	Urinary	2016-7	PRJEB35745	SAMEA6378145	GCA_902709505.2	G	117	ST117		O143	H4
H1-003-0055-S-J	Urinary	2016-7	PRJEB35745	SAMEA6378146	GCA_902709485.2	B2	73	STc73	F	O6	H1
H1-003-0056-S-G	Urinary	2016-7	PRJEB35745	SAMEA6378147	GCA_902709445.2	B2	131	STc131	C2	O25b	H4
H1-003-0057-E-J	Urinary	2016-7	PRJEB35745	SAMEA6378148	GCA_902709535.2	B1	58	STc58		O9	H25
H1-003-0058-P-M	Urinary	2016-7	PRJEB35745	SAMEA6378149	GCA_902709425.2	B2	131	STc131	C2	O25b	H4
H1-003-0059-B-D	Urinary	2016-7	PRJEB35745	SAMEA6378150	GCA_902709545.2	B2	1193	STc14		O75	H5
H1-003-0060-L-P	Urinary	2016-7	PRJEB35745	SAMEA6378151	GCA_902709415.2	B2	131	STc131	B	O25b	H4
H1-003-0061-B-S	Digestive	2016-7	PRJEB35745	SAMEA6378152	GCA_902709465.2	B2	12	STc12		O4	H5
H1-003-0062-S-A	Digestive	2016-7	PRJEB35745	SAMEA6378153	GCA_902709455.2	B1	58	STc58		O9	H25
H1-003-0063-C-D	Catheter	2016-7	PRJEB35745	SAMEA6378154	GCA_902709495.2	D	69	STc69	C	O15	H18
H1-003-0064-F-B	Digestive	2016-7	PRJEB35745	SAMEA6378155	GCA_902709515.2	B2	1193	STc14		O75	H5
H1-003-0065-B-J	Digestive	2016-7	PRJEB35745	SAMEA6378156	GCA_902709385.2	D	349	ST349		O166	H15
H1-003-0066-D-R	Urinary	2016-7	PRJEB35745	SAMEA6378157	GCA_902709355.2	B2	131	STc131	A	O16	H5
H1-003-0067-G-L	Digestive	2016-7	PRJEB35745	SAMEA6378158	GCA_902709475.2	B1	939	ST939		O177	H23
H1-003-0068-D-P	Urinary	2016-7	PRJEB35745	SAMEA6378159	GCA_902709375.2	B2	131	STc131	C2	O25b	H4
H1-003-0069-M-R	Urinary	2016-7	PRJEB35745	SAMEA6378160	GCA_902709365.2	B2	131	STc131	C1	O25b	H4
H1-003-0070-P-A	Digestive	2016-7	PRJEB35745	SAMEA6378161	GCA_902709525.2	B2	14	STc14		O18	H5
H1-003-0071-C-J	Urinary	2016-7	PRJEB35745	SAMEA6378162	GCA_902709435.2	C	88	STc88		O8	H19
H1-003-0072-K-A	Urinary	2016-7	PRJEB35745	SAMEA6378163	GCA_902709615.2	D	38	STc38		O86	H18
H1-003-0073-B-R	Digestive	2016-7	PRJEB35745	SAMEA6378164	GCA_902709665.2	B2	404	STc14		O75	H5
H1-003-0074-F-B	Digestive	2016-7	PRJEB35745	SAMEA6378165	GCA_902709625.2	D	69	STc69	C	O15	H18
H1-003-0075-G-C	Urinary	2016-7	PRJEB35745	SAMEA6378166	GCA_902709685.2	B2	1618	STc73	B	O4	H1
H1-003-0076-A-L	Urinary	2016-7	PRJEB35745	SAMEA6378167	GCA_902709745.2	F	1722	ST1722		O1	H25
H1-003-0077-P-R	Digestive	2016-7	PRJEB35745	SAMEA6378168	GCA_902709655.2	B2	73	STc73	F	O6	H1
H1-003-0078-L-J	Urinary	2016-7	PRJEB35745	SAMEA6378169	GCA_902709705.2	B2	73	STc73	F	O6	H1
H1-003-0079-G-R	Urinary	2016-7	PRJEB35745	SAMEA6378170	GCA_902709575.2	C	88	STc88		O104	H10
H1-003-0080-M-J	Urinary	2016-7	PRJEB35745	SAMEA6378171	GCA_902709725.2	B2	73	STc73	F	O25	H1
H1-003-0081-L-V	Urinary	2016-7	PRJEB35745	SAMEA6378172	GCA_902709715.2	A	10	STc10	B	O3	H2
H1-003-0082-B-D	Urinary	2016-7	PRJEB35745	SAMEA6378173	GCA_902709595.2	F	59	STc59		O_not_found	H7
H1-003-0083-B-J	Digestive	2016-7	PRJEB35745	SAMEA6378174	GCA_902709605.2	B2	131	STc131	C2	O25b	H4
H1-003-0084-P-F	Urinary	2016-7	PRJEB35745	SAMEA6378175	GCA_902709695.2	B2	131	STc131	C1	O25b	H4
H1-003-0085-C-J	Urinary	2016-7	PRJEB35745	SAMEA6378176	GCA_902709635.2	B2	372	STc372		O83	H31
H1-003-0086-C-F	Digestive	2016-7	PRJEB35745	SAMEA6378177	GCA_902709585.2	cladeV	5540	ST5540		O133	H56
H1-003-0087-P-A	Digestive	2016-7	PRJEB35745	SAMEA6378178	GCA_902709675.2	B2	73	STc73	F	O6	H1
H1-003-0088-B-J	Digestive	2016-7	PRJEB35745	SAMEA6378179	GCA_902709565.2	C	88	STc88		Onovel22	H19
H1-003-0089-N-A	Urinary	2016-7	PRJEB35745	SAMEA6378180	GCA_902709735.2	B2	95	STc95	D	O1	H7
H1-003-0090-V-J	Digestive	2016-7	PRJEB35745	SAMEA6378181	GCA_902709555.2	C	88	STc88		O9	H17
H1-003-0091-B-Y	Urinary	2016-7	PRJEB35745	SAMEA6378182	GCA_902709645.2	F	648	STc648		O1	H6
H1-003-0092-M-M	Digestive	2016-7	PRJEB35745	SAMEA6378183	GCA_902709805.2	B1	58	STc58		O8	H25
H1-003-0093-S-I	Digestive	2016-7	PRJEB35745	SAMEA6378184	GCA_902709825.2	F	354	ST354		O153	H15
H1-003-0094-P-G	Digestive	2016-7	PRJEB35745	SAMEA6378185	GCA_902709835.2	B2	429	ST429		O2	H1
H1-003-0095-L-C	Digestive	2016-7	PRJEB35745	SAMEA6378186	GCA_902709875.2	B2	73	STc73	B	O120	H31
H1-003-0096-Y-E	Digestive	2016-7	PRJEB35745	SAMEA6378187	GCA_902709845.2	B1	600	STc453		O23	H16
H1-003-0097-L-A	Digestive	2016-7	PRJEB35745	SAMEA6378188	GCA_902709915.2	D	38	STc38		O7	H18
H1-003-0098-J-H	Digestive	2016-7	PRJEB35745	SAMEA6378189	GCA_902709755.2	A	93	STc93		O5	H4
H1-003-0099-G-R	Multiple	2016-7	PRJEB35745	SAMEA6378190	GCA_902709895.2	D	38	STc38		O7	H15
H1-003-0100-P-J	Urinary	2016-7	PRJEB35745	SAMEA6378191	GCA_902709925.2	B1	58	STc58		O8	H19
H1-003-0101-A-M	Catheter	2016-7	PRJEB35745	SAMEA6378192	GCA_902709815.2	B1	8098	ST8098		O8	H8
H1-003-0102-N-F	Multiple	2016-7	PRJEB35745	SAMEA6378193	GCA_902709775.2	B2	95	STc95	A	O1	H7
H1-003-0103-H-T	Urinary	2016-7	PRJEB35745	SAMEA6378194	GCA_902709785.2	D	69	STc69	D	O117	H4
H1-003-0104-D-J	Urinary	2016-7	PRJEB35745	SAMEA6378195	GCA_902709855.2	B2	141	STc141		O2	H6
H1-003-0105-C-R	Urinary	2016-7	PRJEB35745	SAMEA6378196	GCA_902709765.2	C	88	STc88		Onovel22	H17
H1-003-0106-F-F	Urinary	2016-7	PRJEB35745	SAMEA6378197	GCA_902709885.2	D	106	STc69	B	O17	H18
H1-003-0107-C-T	Urinary	2016-7	PRJEB35745	SAMEA6378198	GCA_902709905.2	B2	131	STc131	C2	O25b	H4
H1-003-0108-G-P	Urinary	2016-7	PRJEB35745	SAMEA6378199	GCA_902709795.2	B1	1431	STc162		O8	H19
H1-003-0109-M-D	Urinary	2016-7	PRJEB35745	SAMEA6378200	GCA_902709865.2	A	301	ST301		O80	H2
H1-003-0110-L-T	Urinary	2016-7	PRJEB35745	SAMEA6378201	GCA_902710035.2	D	69	STc69	C	O15	H6
H1-003-0111-F-S	Urinary	2016-7	PRJEB35745	SAMEA6378202	GCA_902709985.2	A	48	STc10	A	O8	H11
H1-003-0112-M-M	Digestive	2016-7	PRJEB35745	SAMEA6378203	GCA_902710025.2	B1	58	STc58		O8	H25
H1-003-0113-M-D	Digestive	2016-7	PRJEB35745	SAMEA6378204	GCA_902709995.2	D	5602	ST5602		O36	H1
H1-003-0114-T-R	Digestive	2016-7	PRJEB35745	SAMEA6378205	GCA_902710085.1	B2	141	STc141		O2	H6
H1-003-0115-L-R	Urinary	2016-7	PRJEB35745	SAMEA6378206	GCA_902710115.2	C	88	STc88		Onovel22	H17
H1-003-0116-V-R	Urinary	2016-7	PRJEB35745	SAMEA6378207	GCA_902709975.2	C	8105	STc88		O38	H27
H1-003-0117-S-L	Urinary	2016-7	PRJEB35745	SAMEA6378208	GCA_902710105.2	B2	73	STc73	F	O6	H1
H1-003-0118-G-E	Urinary	2016-7	PRJEB35745	SAMEA6378209	GCA_902710065.2	B2	131	STc131	C2	O25b	H4
H1-003-0119-G-R	Urinary	2016-7	PRJEB35745	SAMEA6378210	GCA_902709935.2	B2	131	STc131	C2	O25b	H4
H1-003-0120-P-R	Urinary	2016-7	PRJEB35745	SAMEA6378211	GCA_902710055.2	C	8106	STc88		O8	H11
H1-003-0121-E-F	Urinary	2016-7	PRJEB35745	SAMEA6378212	GCA_902710075.2	B1	58	STc58		O9	H25
H1-003-0122-K-R	Urinary	2016-7	PRJEB35745	SAMEA6378213	GCA_902710125.2	B2	131	STc131	C1	O25b	H4
H1-003-0123-M-R	Urinary	2016-7	PRJEB35745	SAMEA6378214	GCA_902709945.2	D	69	STc69	C	O15	H18
H1-004-0001-B-J	Urinary	2016-7	PRJEB35745	SAMEA6378215	GCA_902710015.2	B2	131	STc131	C2	O25b	H4
H1-004-0002-M-C	Urinary	2016-7	PRJEB35745	SAMEA6378216	GCA_902711075.2	B2	131	STc131	C2	O25b	H4
H1-004-0003-G-R	Urinary	2016-7	PRJEB35745	SAMEA6378217	GCA_902709965.2	B1	2436	ST2436		O9	H21
H1-004-0004-L-A	Urinary	2016-7	PRJEB35745	SAMEA6378218	GCA_902709955.2	D	69	STc69	D	O17	H18
H1-004-0005-J-I	Urinary	2016-7	PRJEB35745	SAMEA6378219	GCA_902710005.2	B2	95	STc95	C	O25b	H4
H1-004-0006-D-E	unknown	2016-7	PRJEB35745	SAMEA6378220	GCA_902710045.2	B2	12	STc12		O4	H5
H1-004-0007-O-M	Multiple	2016-7	PRJEB35745	SAMEA6378221	GCA_902710095.2	cladeI	770	ST770		O102	H51
H1-004-0008-M-Y	Urinary	2016-7	PRJEB35745	SAMEA6378222	GCA_902710145.2	B2	131	STc131	C1	O25b	H4
H1-004-0009-M-M	Pulmonary	2016-7	PRJEB35745	SAMEA6378223	GCA_902710135.2	B2	12	STc12		O4	H5
H1-004-0010-C-O	Urinary	2016-7	PRJEB35745	SAMEA6378224	GCA_902710275.2	B2	131	STc131	C1	O25b	H4
H1-004-0011-S-K	Urinary	2016-7	PRJEB35745	SAMEA6378225	GCA_902710285.2	B2	73	STc73	D	O2	H1
H1-004-0012-M-Z	Digestive	2016-7	PRJEB35745	SAMEA6378226	GCA_902710235.2	F	1485	STc648		O83	H42
H1-004-0013-A-M	Urinary	2016-7	PRJEB35745	SAMEA6378227	GCA_902710175.2	D	69	STc69	D	O153	H2
H1-004-0014-D-M	Digestive	2016-7	PRJEB35745	SAMEA6378228	GCA_902710245.2	A	10	STc10	B	O21	H12
H1-004-0015-N-A	Urinary	2016-7	PRJEB35745	SAMEA6378229	GCA_902710205.2	B1	2206	ST2206		O8	H8
H1-004-0016-L-R	Urinary	2016-7	PRJEB35745	SAMEA6378230	GCA_902710185.2	B2	73	STc73	F	O6	H1
H1-004-0017-B-M	Digestive	2016-7	PRJEB35745	SAMEA6378231	GCA_902710155.2	B1	58	STc58		O9	H9
H1-004-0018-V-M	Urinary	2016-7	PRJEB35745	SAMEA6378232	GCA_902710165.2	B2	5484	STc95	D	O1	H7
H1-004-0019-M-J	Urinary	2016-7	PRJEB35745	SAMEA6378233	GCA_902710255.2	B2	537	STc14		O75	H5
H1-004-0020-M-A	Digestive	2016-7	PRJEB35745	SAMEA6378234	GCA_902710225.2	F	5155	ST5155		O8	H20
H1-004-0021-W-I	unknown	2016-7	PRJEB35745	SAMEA6378235	GCA_902710195.2	C	23	STc88		O78	H4
H1-004-0022-M-L	Urinary	2016-7	PRJEB35745	SAMEA6378236	GCA_902710215.2	B2	131	STc131	C2	O25b	H4
H1-004-0023-R-J	Digestive	2016-7	PRJEB35745	SAMEA6378237	GCA_902710265.2	D	394	ST394		O17	H18
H1-004-0024-M-R	Digestive	2016-7	PRJEB35745	SAMEA6378238	GCA_902711135.2	D	405	ST405		O102	H6
H1-004-0025-T-J	unknown	2016-7	PRJEB35745	SAMEA6378239	GCA_902710325.2	B2	131	STc131	A	O16	H5
H1-004-0026-E-A	Urinary	2016-7	PRJEB35745	SAMEA6378240	GCA_902710335.2	B2	73	STc73	F	O18	H1
H1-004-0027-B-P	Digestive	2016-7	PRJEB35745	SAMEA6378241	GCA_902710315.2	A	93	STc93		O5	H10
H1-004-0028-B-J	Urinary	2016-7	PRJEB35745	SAMEA6378242	GCA_902710305.2	B2	131	STc131	B	O25b	H4
H1-004-0029-D-M	Urinary	2016-7	PRJEB35745	SAMEA6378243	GCA_902710295.2	D	69	STc69	D	O117	H4
H1-004-0030-A-D	Urinary	2016-7	PRJEB35745	SAMEA6378244	GCA_902710345.2	B2	357	ST357		O13	H4
H1-004-0031-M-D	Surgery	2016-7	PRJEB35745	SAMEA6378245	GCA_902710365.2	B2	321	ST321		O120	H14
H1-004-0032-M-R	Digestive	2016-7	PRJEB35745	SAMEA6378246	GCA_902710385.2	B2	95	STc95	B	O18	H7
H1-004-0033-B-M	Urinary	2016-7	PRJEB35745	SAMEA6378247	GCA_902710395.2	B2	95	STc95	D	O1	H7
H1-004-0034-B-S	Urinary	2016-7	PRJEB35745	SAMEA6378248	GCA_902710375.2	D	69	STc69	D	O17	H18
H1-004-0035-L-Y	Urinary	2016-7	PRJEB35745	SAMEA6378249	GCA_902710355.2	B2	14	STc14		O18	H5
H1-004-0036-R-B	Urinary	2016-7	PRJEB35745	SAMEA6378250	GCA_902711205.2	B2	73	STc73	C	O6	H1
H1-004-0037-C-M	Urinary	2016-7	PRJEB35745	SAMEA6378251	GCA_902710405.2	B2	131	STc131	C2	O25b	H4
H1-004-0038-D-S	Urinary	2016-7	PRJEB35745	SAMEA6378252	GCA_902710415.2	B2	73	STc73	F	O6	H1
H1-004-0039-M-M	Urinary	2016-7	PRJEB35745	SAMEA6378253	GCA_902710495.2	B2	95	STc95	C	O25b	H4
H1-004-0040-M-P	Digestive	2016-7	PRJEB35745	SAMEA6378254	GCA_902710445.2	A	48	STc10	A	O5	H11
H1-004-0041-C-C	Urinary	2016-7	PRJEB35745	SAMEA6378255	GCA_902710515.2	B1	162	STc162		O8	H10
H1-004-0042-F-R	Urinary	2016-7	PRJEB35745	SAMEA6378256	GCA_902710545.2	B2	131	STc131	A	O16	H5
H1-004-0043-G-R	Catheter	2016-7	PRJEB35745	SAMEA6378257	GCA_902710485.2	A	7343	STc46		O9	H4
H1-004-0044-A-F	Urinary	2016-7	PRJEB35745	SAMEA6378258	GCA_902710465.2	B1	327	ST327		O156	H8
H1-004-0045-D-N	Urinary	2016-7	PRJEB35745	SAMEA6378259	GCA_902710535.2	D	69	STc69	D	O117	H4
H1-005-0001-B-P	Urinary	2016-7	PRJEB35745	SAMEA6378260	GCA_902710525.2	A	10	STc10	B	O8	H30
H1-005-0002-P-M	Digestive	2016-7	PRJEB35745	SAMEA6378261	GCA_902711175.2	B2	140	STc95	Unassigned	O2	H5
H1-005-0003-L-R	Urinary	2016-7	PRJEB35745	SAMEA6378262	GCA_902711115.2	B2	131	STc131	A	O16	H5
H1-005-0004-K-C	Urinary	2016-7	PRJEB35745	SAMEA6378263	GCA_902710455.2	B2	8111	STc73	C	O6	H1
H1-005-0007-B-J	Urinary	2016-7	PRJEB35745	SAMEA6378264	GCA_902710475.2	D	362	STc362		O11	H9
H1-005-0008-B-B	Urinary	2016-7	PRJEB35745	SAMEA6378265	GCA_902710505.2	D	69	STc69	D	O11	H4
H1-005-0009-D-X	Digestive	2016-7	PRJEB35745	SAMEA6378266	GCA_902710435.2	B2	14	STc14		O75	H5
H1-005-0010-B-P	Digestive	2016-7	PRJEB35745	SAMEA6378267	GCA_902710425.2	B2	131	STc131	B	O25b	H4
H1-005-0011-B-M	Urinary	2016-7	PRJEB35745	SAMEA6378268	GCA_902710575.2	B2	131	STc131	C2	O25b	H4
H1-005-0012-L-M	Digestive	2016-7	PRJEB35745	SAMEA6378269	GCA_902710675.2	C	8117	STc88		O8	H19
H1-005-0013-L-D	Urinary	2016-7	PRJEB35745	SAMEA6378270	GCA_902710565.2	B2	73	STc73	E	O6	H1
H1-005-0014-M-A	Digestive	2016-7	PRJEB35745	SAMEA6378271	GCA_902710665.2	D	69	STc69	C	O15	H6
H1-005-0015-A-D	Urinary	2016-7	PRJEB35745	SAMEA6378272	GCA_902710615.2	B1	156	ST156		O160	H31
H1-005-0016-A-H	Pulmonary	2016-7	PRJEB35745	SAMEA6378273	GCA_902710555.2	F	1722	ST1722		O1	H25
H1-005-0017-S-M	Urinary	2016-7	PRJEB35745	SAMEA6378274	GCA_902710605.2	B2	131	STc131	C1	O25b	H4
H1-005-0020-C-M	Urinary	2016-7	PRJEB35745	SAMEA6378275	GCA_902710645.2	B2	95	STc95	A	O2	H7
H1-005-0022-B-A	Urinary	2016-7	PRJEB35745	SAMEA6378276	GCA_902710635.2	B2	73	STc73	D	O2	H1
H1-005-0023-G-E	Urinary	2016-7	PRJEB35745	SAMEA6378277	GCA_902710625.2	B2	73	STc73	D	O2	H1
H1-005-0024-E-M	Urinary	2016-7	PRJEB35745	SAMEA6378278	GCA_902711265.2	B2	73	STc73	F	O6	H1
H1-005-0025-R-L	Digestive	2016-7	PRJEB35745	SAMEA6378279	GCA_902710585.2	B1	162	STc162		O134	H19
H1-005-0027-E-M	Urinary	2016-7	PRJEB35745	SAMEA6378280	GCA_902710595.2	F	8115	STc59		O1	H7
H1-005-0028-K-P	Urinary	2016-7	PRJEB35745	SAMEA6378281	GCA_902710685.2	B2	131	STc131	C2	O25b	H4
H1-005-0029-M-I	Urinary	2016-7	PRJEB35745	SAMEA6378282	GCA_902710655.2	B2	131	STc131	C2	O25b	H4
